          metric           |    value    |                     description                     | relation_id 
---------------------------+-------------+-----------------------------------------------------+-------------
 pg_connections            |           1 | Open pg-wire client connections                     |            
 http_connections          |           0 | Open HTTP client connections                        |            
 refresh_active            |           0 | Search refresh tasks currently running              |            
 refresh_pending           |           0 | Search refresh tasks waiting to run                 |            
 compaction_active         |           4 | Search compaction tasks currently running           |            
 compaction_pending        |           0 | Search compaction tasks waiting to run              |            
 cleanup_active            |           0 | Search cleanup tasks currently running              |            
 cleanup_pending           |           0 | Search cleanup tasks waiting to run                 |            
 num_docs                  |   100000000 | documents in the index (including deleted)          |     2000367
 num_live_docs             |   100000000 | live (non-deleted) documents                        |     2000367
 num_buffered_docs         |           0 | documents buffered in the writer, not yet committed |     2000367
 num_segments              |          32 | index segments                                      |     2000367
 num_files                 |         161 | files backing the index                             |     2000367
 index_size                | 12075946314 | on-disk index size in bytes                         |     2000367
 num_failed_commits        |           0 | failed commit operations                            |     2000367
 num_failed_cleanups       |           0 | failed cleanup operations                           |     2000367
 num_failed_consolidations |           0 | failed consolidation operations                     |     2000367
 avg_commit_time_ms        |        7589 | average time of the last few commits, in ms         |     2000367
 avg_cleanup_time_ms       |           0 | average time of the last few cleanups, in ms        |     2000367
 avg_consolidation_time_ms |           0 | average time of the last few consolidations, in ms  |     2000367
(20 rows)

